order_id,user_id,order_ts,status
ORD-0006914,1987.0,2026-01-23 10:12:25,shipped
ORD-0011125,2058.0,2026-01-25 07:17:11,completed
ORD-0007229,2320.0,2026-01-29 09:00:31,completed
ORD-0002765,1394.0,2026-01-23 02:54:57,completed
ORD-0023217,,2026-01-02 00:06:37,shipped
ORD-0017270,1428.0,2026-01-19 21:51:59,cancelled
ORD-0003074,2613.0,2026-01-11 08:43:04,shipped
ORD-0008185,2171.0,2026-01-24 14:51:30,completed
ORD-0002596,3175.0,2026-01-04 13:18:50,pending
ORD-0005484,4691.0,2026-01-31 14:21:41,completed
ORD-0006509,3586.0,2026-01-04 04:44:54,shipped
ORD-0011777,1516.0,2026-01-04 08:05:23,completed
ORD-0005307,2497.0,2026-01-16 09:17:06,cancelled
ORD-0018847,505.0,2026-01-05 16:10:12,shipped
ORD-0019855,4476.0,2026-01-27 14:59:14,completed
ORD-0002464,1413.0,2026-01-29 15:49:44,completed
ORD-0005305,3404.0,2026-01-10 03:09:21,cancelled
ORD-0023740,477.0,2026-01-20 00:48:35,pending
ORD-0020428,1181.0,2026-01-13 07:14:20,completed
ORD-0020264,340.0,2026-01-06 12:41:17,shipped
ORD-0009579,431.0,2026-01-20 17:45:38,completed
ORD-0014165,751.0,2026-01-16 18:46:12,completed
ORD-0005108,4773.0,2026-01-17 17:31:18,pending
ORD-0005161,2502.0,2026-01-23 22:26:36,completed
ORD-0008451,4429.0,2026-01-20 00:54:07,completed
ORD-0022316,4247.0,2026-01-19 05:32:43,completed
ORD-0016214,19.0,2026-01-17 17:39:16,shipped
ORD-0024853,3066.0,2026-01-19 21:59:04,completed
ORD-0021440,1837.0,2026-01-22 12:19:51,cancelled
ORD-0024451,4655.0,2026-01-20 08:09:18,completed
ORD-0011283,2783.0,2026-01-19 00:17:57,cancelled
ORD-0013450,1162.0,2026-01-29 22:06:21,completed
ORD-0023281,2170.0,2026-01-31 20:08:31,shipped
